structure,total,inUse,free,time
Maynard,791.0,507.0,284.0,1678741639.8203437
Forest Garage,853.0,319.0,534.0,1678741639.8203437
Liberty Square (Tally Hall),540.0,360.0,180.0,1678741639.8203437
Ann Ashley,811.0,561.0,250.0,1678741639.8203437
4th & William,960.0,371.0,589.0,1678741639.8203437
1st & Wash.,243.0,86.0,157.0,1678741639.8203437
4th & Wash.,270.0,163.0,107.0,1678741639.8203437
1st and William,110.0,0.0,110.0,1678741639.8203437
South Ashley (Kline Lot),143.0,25.0,118.0,1678741639.8203437
Library Lane,744.0,176.0,568.0,1678745238.7696168
Maynard,791.0,507.0,284.0,1678745238.7696168
Forest Garage,853.0,319.0,534.0,1678745238.7696168
Liberty Square (Tally Hall),540.0,360.0,180.0,1678745238.7696168
Ann Ashley,811.0,561.0,250.0,1678745238.7696168
4th & William,960.0,371.0,589.0,1678745238.7696168
1st & Wash.,243.0,86.0,157.0,1678745238.7696168
4th & Wash.,270.0,163.0,107.0,1678745238.7696168
1st and William,110.0,0.0,110.0,1678745238.7696168
South Ashley (Kline Lot),143.0,25.0,118.0,1678745238.7696168
Library Lane,744.0,176.0,568.0,1678748838.827997
Maynard,791.0,507.0,284.0,1678748838.827997
Forest Garage,853.0,319.0,534.0,1678748838.827997
Liberty Square (Tally Hall),540.0,360.0,180.0,1678748838.827997
Ann Ashley,811.0,561.0,250.0,1678748838.827997
4th & William,960.0,371.0,589.0,1678748838.827997
1st & Wash.,243.0,86.0,157.0,1678748838.827997
4th & Wash.,270.0,163.0,107.0,1678748838.827997
1st and William,110.0,0.0,110.0,1678748838.827997
South Ashley (Kline Lot),143.0,25.0,118.0,1678748838.827997
Library Lane,744.0,76.0,668.0,1678752453.6865253
Maynard,791.0,393.0,398.0,1678752453.6865253
Forest Garage,853.0,80.0,773.0,1678752453.6865253
Liberty Square (Tally Hall),540.0,276.0,264.0,1678752453.6865253
Ann Ashley,811.0,307.0,504.0,1678752453.6865253
4th & William,960.0,301.0,659.0,1678752453.6865253
1st & Wash.,243.0,243.0,0.0,1678752453.6865253
4th & Wash.,270.0,107.0,163.0,1678752453.6865253
1st and William,110.0,0.0,110.0,1678752453.6865253
South Ashley (Kline Lot),143.0,31.0,112.0,1678752453.6865253
Library Lane,744.0,76.0,668.0,1678756038.060097
Maynard,791.0,393.0,398.0,1678756038.060097
Forest Garage,853.0,80.0,773.0,1678756038.060097
Liberty Square (Tally Hall),540.0,276.0,264.0,1678756038.060097
Ann Ashley,811.0,307.0,504.0,1678756038.060097
4th & William,960.0,301.0,659.0,1678756038.060097
1st & Wash.,243.0,243.0,0.0,1678756038.060097
4th & Wash.,270.0,107.0,163.0,1678756038.060097
1st and William,110.0,0.0,110.0,1678756038.060097
South Ashley (Kline Lot),143.0,31.0,112.0,1678756038.060097
Library Lane,744.0,76.0,668.0,1678759643.130208
Maynard,791.0,393.0,398.0,1678759643.130208
Forest Garage,853.0,80.0,773.0,1678759643.130208
Liberty Square (Tally Hall),540.0,276.0,264.0,1678759643.130208
Ann Ashley,811.0,307.0,504.0,1678759643.130208
4th & William,960.0,301.0,659.0,1678759643.130208
1st & Wash.,243.0,243.0,0.0,1678759643.130208
4th & Wash.,270.0,107.0,163.0,1678759643.130208
1st and William,110.0,0.0,110.0,1678759643.130208
South Ashley (Kline Lot),143.0,31.0,112.0,1678759643.130208
Library Lane,744.0,76.0,668.0,1678763232.2373192
Maynard,791.0,393.0,398.0,1678763232.2373192
Forest Garage,853.0,80.0,773.0,1678763232.2373192
Liberty Square (Tally Hall),540.0,276.0,264.0,1678763232.2373192
Ann Ashley,811.0,307.0,504.0,1678763232.2373192
4th & William,960.0,301.0,659.0,1678763232.2373192
1st & Wash.,243.0,243.0,0.0,1678763232.2373192
4th & Wash.,270.0,107.0,163.0,1678763232.2373192
1st and William,110.0,0.0,110.0,1678763232.2373192
South Ashley (Kline Lot),143.0,31.0,112.0,1678763232.2373192
Library Lane,744.0,61.0,683.0,1678766836.9770632
Maynard,791.0,195.0,596.0,1678766836.9770632
Forest Garage,853.0,32.0,821.0,1678766836.9770632
Liberty Square (Tally Hall),540.0,202.0,338.0,1678766836.9770632
Ann Ashley,811.0,305.0,506.0,1678766836.9770632
4th & William,960.0,238.0,722.0,1678766836.9770632
1st & Wash.,243.0,243.0,0.0,1678766836.9770632
4th & Wash.,270.0,44.0,226.0,1678766836.9770632
1st and William,110.0,0.0,110.0,1678766836.9770632
South Ashley (Kline Lot),143.0,0.0,143.0,1678766836.9770632
Library Lane,744.0,61.0,683.0,1678770432.9243443
Maynard,791.0,195.0,596.0,1678770432.9243443
Forest Garage,853.0,32.0,821.0,1678770432.9243443
Liberty Square (Tally Hall),540.0,202.0,338.0,1678770432.9243443
Ann Ashley,811.0,305.0,506.0,1678770432.9243443
4th & William,960.0,238.0,722.0,1678770432.9243443
1st & Wash.,243.0,243.0,0.0,1678770432.9243443
4th & Wash.,270.0,44.0,226.0,1678770432.9243443
1st and William,110.0,0.0,110.0,1678770432.9243443
South Ashley (Kline Lot),143.0,0.0,143.0,1678770432.9243443
Library Lane,744.0,61.0,683.0,1678774042.9903622
Maynard,791.0,195.0,596.0,1678774042.9903622
Forest Garage,853.0,32.0,821.0,1678774042.9903622
Liberty Square (Tally Hall),540.0,202.0,338.0,1678774042.9903622
Ann Ashley,811.0,305.0,506.0,1678774042.9903622
4th & William,960.0,238.0,722.0,1678774042.9903622
1st & Wash.,243.0,243.0,0.0,1678774042.9903622
4th & Wash.,270.0,44.0,226.0,1678774042.9903622
1st and William,110.0,0.0,110.0,1678774042.9903622
South Ashley (Kline Lot),143.0,0.0,143.0,1678774042.9903622
Library Lane,744.0,63.0,681.0,1678777633.6572065
Maynard,791.0,178.0,613.0,1678777633.6572065
Forest Garage,853.0,0.0,853.0,1678777633.6572065
Liberty Square (Tally Hall),540.0,186.0,354.0,1678777633.6572065
Ann Ashley,811.0,299.0,512.0,1678777633.6572065
4th & William,960.0,232.0,728.0,1678777633.6572065
1st & Wash.,243.0,243.0,0.0,1678777633.6572065
4th & Wash.,270.0,41.0,229.0,1678777633.6572065
1st and William,110.0,0.0,110.0,1678777633.6572065
South Ashley (Kline Lot),143.0,0.0,143.0,1678777633.6572065
Library Lane,744.0,63.0,681.0,1678781231.7755427
Maynard,791.0,178.0,613.0,1678781231.7755427
Forest Garage,853.0,0.0,853.0,1678781231.7755427
Liberty Square (Tally Hall),540.0,186.0,354.0,1678781231.7755427
Ann Ashley,811.0,299.0,512.0,1678781231.7755427
4th & William,960.0,232.0,728.0,1678781231.7755427
1st & Wash.,243.0,243.0,0.0,1678781231.7755427
4th & Wash.,270.0,41.0,229.0,1678781231.7755427
1st and William,110.0,0.0,110.0,1678781231.7755427
South Ashley (Kline Lot),143.0,0.0,143.0,1678781231.7755427
Library Lane,744.0,63.0,681.0,1678784832.503991
Maynard,791.0,178.0,613.0,1678784832.503991
Forest Garage,853.0,0.0,853.0,1678784832.503991
Liberty Square (Tally Hall),540.0,186.0,354.0,1678784832.503991
Ann Ashley,811.0,299.0,512.0,1678784832.503991
4th & William,960.0,232.0,728.0,1678784832.503991
1st & Wash.,243.0,243.0,0.0,1678784832.503991
4th & Wash.,270.0,41.0,229.0,1678784832.503991
1st and William,110.0,0.0,110.0,1678784832.503991
South Ashley (Kline Lot),143.0,0.0,143.0,1678784832.503991
Library Lane,744.0,63.0,681.0,1678788438.1452887
Maynard,791.0,192.0,599.0,1678788438.1452887
Forest Garage,853.0,10.0,843.0,1678788438.1452887
Liberty Square (Tally Hall),540.0,189.0,351.0,1678788438.1452887
Ann Ashley,811.0,322.0,489.0,1678788438.1452887
4th & William,960.0,233.0,727.0,1678788438.1452887
1st & Wash.,243.0,243.0,0.0,1678788438.1452887
4th & Wash.,270.0,44.0,226.0,1678788438.1452887
1st and William,110.0,0.0,110.0,1678788438.1452887
South Ashley (Kline Lot),143.0,0.0,143.0,1678788438.1452887
Library Lane,744.0,63.0,681.0,1678792033.4865646
Maynard,791.0,192.0,599.0,1678792033.4865646
Forest Garage,853.0,10.0,843.0,1678792033.4865646
Liberty Square (Tally Hall),540.0,189.0,351.0,1678792033.4865646
Ann Ashley,811.0,322.0,489.0,1678792033.4865646
4th & William,960.0,233.0,727.0,1678792033.4865646
1st & Wash.,243.0,243.0,0.0,1678792033.4865646
4th & Wash.,270.0,44.0,226.0,1678792033.4865646
1st and William,110.0,0.0,110.0,1678792033.4865646
South Ashley (Kline Lot),143.0,0.0,143.0,1678792033.4865646
Library Lane,744.0,63.0,681.0,1678795632.6937246
Maynard,791.0,192.0,599.0,1678795632.6937246
Forest Garage,853.0,10.0,843.0,1678795632.6937246
Liberty Square (Tally Hall),540.0,189.0,351.0,1678795632.6937246
Ann Ashley,811.0,322.0,489.0,1678795632.6937246
4th & William,960.0,233.0,727.0,1678795632.6937246
1st & Wash.,243.0,243.0,0.0,1678795632.6937246
4th & Wash.,270.0,44.0,226.0,1678795632.6937246
1st and William,110.0,0.0,110.0,1678795632.6937246
South Ashley (Kline Lot),143.0,0.0,143.0,1678795632.6937246
Library Lane,744.0,153.0,591.0,1678799240.3843849
Maynard,791.0,377.0,414.0,1678799240.3843849
Forest Garage,853.0,253.0,600.0,1678799240.3843849
Liberty Square (Tally Hall),540.0,307.0,233.0,1678799240.3843849
Ann Ashley,811.0,604.0,207.0,1678799240.3843849
4th & William,960.0,354.0,606.0,1678799240.3843849
1st & Wash.,243.0,243.0,0.0,1678799240.3843849
4th & Wash.,270.0,130.0,140.0,1678799240.3843849
1st and William,110.0,0.0,110.0,1678799240.3843849
South Ashley (Kline Lot),143.0,12.0,131.0,1678799240.3843849
Library Lane,744.0,153.0,591.0,1678802847.775035
Maynard,791.0,377.0,414.0,1678802847.775035
Forest Garage,853.0,253.0,600.0,1678802847.775035
Liberty Square (Tally Hall),540.0,307.0,233.0,1678802847.775035
Ann Ashley,811.0,604.0,207.0,1678802847.775035
4th & William,960.0,354.0,606.0,1678802847.775035
1st & Wash.,243.0,243.0,0.0,1678802847.775035
4th & Wash.,270.0,130.0,140.0,1678802847.775035
1st and William,110.0,0.0,110.0,1678802847.775035
South Ashley (Kline Lot),143.0,12.0,131.0,1678802847.775035
Library Lane,744.0,153.0,591.0,1678806436.7363033
Maynard,791.0,377.0,414.0,1678806436.7363033
Forest Garage,853.0,253.0,600.0,1678806436.7363033
Liberty Square (Tally Hall),540.0,307.0,233.0,1678806436.7363033
Ann Ashley,811.0,604.0,207.0,1678806436.7363033
4th & William,960.0,354.0,606.0,1678806436.7363033
1st & Wash.,243.0,243.0,0.0,1678806436.7363033
4th & Wash.,270.0,130.0,140.0,1678806436.7363033
1st and William,110.0,0.0,110.0,1678806436.7363033
South Ashley (Kline Lot),143.0,12.0,131.0,1678806436.7363033
Library Lane,744.0,153.0,591.0,1678810038.2538614
Maynard,791.0,377.0,414.0,1678810038.2538614
Forest Garage,853.0,253.0,600.0,1678810038.2538614
Liberty Square (Tally Hall),540.0,307.0,233.0,1678810038.2538614
Ann Ashley,811.0,604.0,207.0,1678810038.2538614
4th & William,960.0,354.0,606.0,1678810038.2538614
1st & Wash.,243.0,243.0,0.0,1678810038.2538614
4th & Wash.,270.0,130.0,140.0,1678810038.2538614
1st and William,110.0,0.0,110.0,1678810038.2538614
South Ashley (Kline Lot),143.0,12.0,131.0,1678810038.2538614
Library Lane,744.0,210.0,534.0,1678813641.3626163
Maynard,791.0,694.0,97.0,1678813641.3626163
Forest Garage,853.0,446.0,407.0,1678813641.3626163
Liberty Square (Tally Hall),540.0,443.0,97.0,1678813641.3626163
Ann Ashley,811.0,698.0,113.0,1678813641.3626163
4th & William,960.0,445.0,515.0,1678813641.3626163
1st & Wash.,243.0,92.0,151.0,1678813641.3626163
4th & Wash.,270.0,239.0,31.0,1678813641.3626163
1st and William,110.0,0.0,110.0,1678813641.3626163
South Ashley (Kline Lot),143.0,55.0,88.0,1678813641.3626163
Library Lane,744.0,210.0,534.0,1678817237.3165145
Maynard,791.0,694.0,97.0,1678817237.3165145
Forest Garage,853.0,446.0,407.0,1678817237.3165145
Liberty Square (Tally Hall),540.0,443.0,97.0,1678817237.3165145
Ann Ashley,811.0,698.0,113.0,1678817237.3165145
4th & William,960.0,445.0,515.0,1678817237.3165145
1st & Wash.,243.0,92.0,151.0,1678817237.3165145
4th & Wash.,270.0,239.0,31.0,1678817237.3165145
1st and William,110.0,0.0,110.0,1678817237.3165145
South Ashley (Kline Lot),143.0,55.0,88.0,1678817237.3165145
Library Lane,744.0,210.0,534.0,1678820835.531276
Maynard,791.0,694.0,97.0,1678820835.531276
Forest Garage,853.0,446.0,407.0,1678820835.531276
Liberty Square (Tally Hall),540.0,443.0,97.0,1678820835.531276
Ann Ashley,811.0,698.0,113.0,1678820835.531276
4th & William,960.0,445.0,515.0,1678820835.531276
1st & Wash.,243.0,92.0,151.0,1678820835.531276
4th & Wash.,270.0,239.0,31.0,1678820835.531276
1st and William,110.0,0.0,110.0,1678820835.531276
South Ashley (Kline Lot),143.0,55.0,88.0,1678820835.531276
Library Lane,744.0,210.0,534.0,1678824433.0947254
Maynard,791.0,694.0,97.0,1678824433.0947254
Forest Garage,853.0,446.0,407.0,1678824433.0947254
Liberty Square (Tally Hall),540.0,443.0,97.0,1678824433.0947254
Ann Ashley,811.0,698.0,113.0,1678824433.0947254
4th & William,960.0,445.0,515.0,1678824433.0947254
1st & Wash.,243.0,92.0,151.0,1678824433.0947254
4th & Wash.,270.0,239.0,31.0,1678824433.0947254
1st and William,110.0,0.0,110.0,1678824433.0947254
South Ashley (Kline Lot),143.0,55.0,88.0,1678824433.0947254
Library Lane,744.0,167.0,577.0,1678828032.9385347
Maynard,791.0,526.0,265.0,1678828032.9385347
Forest Garage,853.0,224.0,629.0,1678828032.9385347
Liberty Square (Tally Hall),540.0,402.0,138.0,1678828032.9385347
Ann Ashley,811.0,463.0,348.0,1678828032.9385347
4th & William,960.0,396.0,564.0,1678828032.9385347
1st & Wash.,243.0,100.0,143.0,1678828032.9385347
4th & Wash.,270.0,157.0,113.0,1678828032.9385347
1st and William,110.0,0.0,110.0,1678828032.9385347
South Ashley (Kline Lot),143.0,57.0,86.0,1678828032.9385347
Library Lane,744.0,167.0,577.0,1678831632.8871815
Maynard,791.0,526.0,265.0,1678831632.8871815
Forest Garage,853.0,224.0,629.0,1678831632.8871815
Liberty Square (Tally Hall),540.0,402.0,138.0,1678831632.8871815
Ann Ashley,811.0,463.0,348.0,1678831632.8871815
4th & William,960.0,396.0,564.0,1678831632.8871815
1st & Wash.,243.0,100.0,143.0,1678831632.8871815
4th & Wash.,270.0,157.0,113.0,1678831632.8871815
1st and William,110.0,0.0,110.0,1678831632.8871815
South Ashley (Kline Lot),143.0,57.0,86.0,1678831632.8871815
Library Lane,744.0,167.0,577.0,1678835231.4496243
Maynard,791.0,526.0,265.0,1678835231.4496243
Forest Garage,853.0,224.0,629.0,1678835231.4496243
Liberty Square (Tally Hall),540.0,402.0,138.0,1678835231.4496243
Ann Ashley,811.0,463.0,348.0,1678835231.4496243
4th & William,960.0,396.0,564.0,1678835231.4496243
1st & Wash.,243.0,100.0,143.0,1678835231.4496243
4th & Wash.,270.0,157.0,113.0,1678835231.4496243
1st and William,110.0,0.0,110.0,1678835231.4496243
South Ashley (Kline Lot),143.0,57.0,86.0,1678835231.4496243
Library Lane,744.0,122.0,622.0,1678838841.459593
Maynard,791.0,705.0,86.0,1678838841.459593
Forest Garage,853.0,109.0,744.0,1678838841.459593
Liberty Square (Tally Hall),540.0,401.0,139.0,1678838841.459593
Ann Ashley,811.0,324.0,487.0,1678838841.459593
4th & William,960.0,396.0,564.0,1678838841.459593
1st & Wash.,243.0,243.0,0.0,1678838841.459593
4th & Wash.,270.0,156.0,114.0,1678838841.459593
1st and William,110.0,0.0,110.0,1678838841.459593
South Ashley (Kline Lot),143.0,112.0,31.0,1678838841.459593
Library Lane,744.0,122.0,622.0,1678842431.868354
Maynard,791.0,705.0,86.0,1678842431.868354
Forest Garage,853.0,109.0,744.0,1678842431.868354
Liberty Square (Tally Hall),540.0,401.0,139.0,1678842431.868354
Ann Ashley,811.0,324.0,487.0,1678842431.868354
4th & William,960.0,396.0,564.0,1678842431.868354
1st & Wash.,243.0,243.0,0.0,1678842431.868354
4th & Wash.,270.0,156.0,114.0,1678842431.868354
1st and William,110.0,0.0,110.0,1678842431.868354
South Ashley (Kline Lot),143.0,112.0,31.0,1678842431.868354
Library Lane,744.0,122.0,622.0,1678846033.3328438
Maynard,791.0,705.0,86.0,1678846033.3328438
Forest Garage,853.0,109.0,744.0,1678846033.3328438
Liberty Square (Tally Hall),540.0,401.0,139.0,1678846033.3328438
Ann Ashley,811.0,324.0,487.0,1678846033.3328438
4th & William,960.0,396.0,564.0,1678846033.3328438
1st & Wash.,243.0,243.0,0.0,1678846033.3328438
4th & Wash.,270.0,156.0,114.0,1678846033.3328438
1st and William,110.0,0.0,110.0,1678846033.3328438
South Ashley (Kline Lot),143.0,112.0,31.0,1678846033.3328438
Library Lane,744.0,122.0,622.0,1678849633.4058325
Maynard,791.0,705.0,86.0,1678849633.4058325
Forest Garage,853.0,109.0,744.0,1678849633.4058325
Liberty Square (Tally Hall),540.0,401.0,139.0,1678849633.4058325
Ann Ashley,811.0,324.0,487.0,1678849633.4058325
4th & William,960.0,396.0,564.0,1678849633.4058325
1st & Wash.,243.0,243.0,0.0,1678849633.4058325
4th & Wash.,270.0,156.0,114.0,1678849633.4058325
1st and William,110.0,0.0,110.0,1678849633.4058325
South Ashley (Kline Lot),143.0,112.0,31.0,1678849633.4058325
Library Lane,744.0,61.0,683.0,1678874838.5916915
Maynard,791.0,216.0,575.0,1678874838.5916915
Forest Garage,853.0,18.0,835.0,1678874838.5916915
Liberty Square (Tally Hall),540.0,189.0,351.0,1678874838.5916915
Ann Ashley,811.0,313.0,498.0,1678874838.5916915
4th & William,960.0,221.0,739.0,1678874838.5916915
1st & Wash.,243.0,243.0,0.0,1678874838.5916915
4th & Wash.,270.0,43.0,227.0,1678874838.5916915
1st and William,110.0,0.0,110.0,1678874838.5916915
South Ashley (Kline Lot),143.0,0.0,143.0,1678874838.5916915
Library Lane,744.0,61.0,683.0,1678878433.6147969
Maynard,791.0,216.0,575.0,1678878433.6147969
Forest Garage,853.0,18.0,835.0,1678878433.6147969
Liberty Square (Tally Hall),540.0,189.0,351.0,1678878433.6147969
Ann Ashley,811.0,313.0,498.0,1678878433.6147969
4th & William,960.0,221.0,739.0,1678878433.6147969
1st & Wash.,243.0,243.0,0.0,1678878433.6147969
4th & Wash.,270.0,43.0,227.0,1678878433.6147969
1st and William,110.0,0.0,110.0,1678878433.6147969
South Ashley (Kline Lot),143.0,0.0,143.0,1678878433.6147969
Library Lane,744.0,61.0,683.0,1678882033.5946858
Maynard,791.0,216.0,575.0,1678882033.5946858
Forest Garage,853.0,18.0,835.0,1678882033.5946858
Liberty Square (Tally Hall),540.0,189.0,351.0,1678882033.5946858
Ann Ashley,811.0,313.0,498.0,1678882033.5946858
4th & William,960.0,221.0,739.0,1678882033.5946858
1st & Wash.,243.0,243.0,0.0,1678882033.5946858
4th & Wash.,270.0,43.0,227.0,1678882033.5946858
1st and William,110.0,0.0,110.0,1678882033.5946858
South Ashley (Kline Lot),143.0,0.0,143.0,1678882033.5946858
Library Lane,744.0,61.0,683.0,1678885634.7881546
Maynard,791.0,216.0,575.0,1678885634.7881546
Forest Garage,853.0,18.0,835.0,1678885634.7881546
Liberty Square (Tally Hall),540.0,189.0,351.0,1678885634.7881546
Ann Ashley,811.0,313.0,498.0,1678885634.7881546
4th & William,960.0,221.0,739.0,1678885634.7881546
1st & Wash.,243.0,243.0,0.0,1678885634.7881546
4th & Wash.,270.0,43.0,227.0,1678885634.7881546
1st and William,110.0,0.0,110.0,1678885634.7881546
South Ashley (Kline Lot),143.0,0.0,143.0,1678885634.7881546
Library Lane,744.0,190.0,554.0,1678889239.1865957
Maynard,791.0,523.0,268.0,1678889239.1865957
Forest Garage,853.0,306.0,547.0,1678889239.1865957
Liberty Square (Tally Hall),540.0,372.0,168.0,1678889239.1865957
Ann Ashley,811.0,696.0,115.0,1678889239.1865957
4th & William,960.0,391.0,569.0,1678889239.1865957
1st & Wash.,243.0,243.0,0.0,1678889239.1865957
4th & Wash.,270.0,187.0,83.0,1678889239.1865957
1st and William,110.0,0.0,110.0,1678889239.1865957
South Ashley (Kline Lot),143.0,34.0,109.0,1678889239.1865957
Library Lane,744.0,190.0,554.0,1678892837.7086654
Maynard,791.0,523.0,268.0,1678892837.7086654
Forest Garage,853.0,306.0,547.0,1678892837.7086654
Liberty Square (Tally Hall),540.0,372.0,168.0,1678892837.7086654
Ann Ashley,811.0,696.0,115.0,1678892837.7086654
4th & William,960.0,391.0,569.0,1678892837.7086654
1st & Wash.,243.0,243.0,0.0,1678892837.7086654
4th & Wash.,270.0,187.0,83.0,1678892837.7086654
1st and William,110.0,0.0,110.0,1678892837.7086654
South Ashley (Kline Lot),143.0,34.0,109.0,1678892837.7086654
Library Lane,744.0,190.0,554.0,1678896439.4552872
Maynard,791.0,523.0,268.0,1678896439.4552872
Forest Garage,853.0,306.0,547.0,1678896439.4552872
Liberty Square (Tally Hall),540.0,372.0,168.0,1678896439.4552872
Ann Ashley,811.0,696.0,115.0,1678896439.4552872
4th & William,960.0,391.0,569.0,1678896439.4552872
1st & Wash.,243.0,243.0,0.0,1678896439.4552872
4th & Wash.,270.0,187.0,83.0,1678896439.4552872
1st and William,110.0,0.0,110.0,1678896439.4552872
South Ashley (Kline Lot),143.0,34.0,109.0,1678896439.4552872
Library Lane,744.0,190.0,554.0,1678900037.3397756
Maynard,791.0,523.0,268.0,1678900037.3397756
Forest Garage,853.0,306.0,547.0,1678900037.3397756
Liberty Square (Tally Hall),540.0,372.0,168.0,1678900037.3397756
Ann Ashley,811.0,696.0,115.0,1678900037.3397756
4th & William,960.0,391.0,569.0,1678900037.3397756
1st & Wash.,243.0,243.0,0.0,1678900037.3397756
4th & Wash.,270.0,187.0,83.0,1678900037.3397756
1st and William,110.0,0.0,110.0,1678900037.3397756
South Ashley (Kline Lot),143.0,34.0,109.0,1678900037.3397756
Library Lane,744.0,212.0,532.0,1678903638.5759125
Maynard,791.0,683.0,108.0,1678903638.5759125
Forest Garage,853.0,449.0,404.0,1678903638.5759125
Liberty Square (Tally Hall),540.0,441.0,99.0,1678903638.5759125
Ann Ashley,811.0,737.0,74.0,1678903638.5759125
4th & William,960.0,436.0,524.0,1678903638.5759125
1st & Wash.,243.0,92.0,151.0,1678903638.5759125
4th & Wash.,270.0,234.0,36.0,1678903638.5759125
1st and William,110.0,0.0,110.0,1678903638.5759125
South Ashley (Kline Lot),143.0,62.0,81.0,1678903638.5759125
Library Lane,744.0,212.0,532.0,1678907233.981667
Maynard,791.0,683.0,108.0,1678907233.981667
Forest Garage,853.0,449.0,404.0,1678907233.981667
Liberty Square (Tally Hall),540.0,441.0,99.0,1678907233.981667
Ann Ashley,811.0,737.0,74.0,1678907233.981667
4th & William,960.0,436.0,524.0,1678907233.981667
1st & Wash.,243.0,92.0,151.0,1678907233.981667
4th & Wash.,270.0,234.0,36.0,1678907233.981667
1st and William,110.0,0.0,110.0,1678907233.981667
South Ashley (Kline Lot),143.0,62.0,81.0,1678907233.981667
Library Lane,744.0,212.0,532.0,1678910834.44944
Maynard,791.0,683.0,108.0,1678910834.44944
Forest Garage,853.0,449.0,404.0,1678910834.44944
Liberty Square (Tally Hall),540.0,441.0,99.0,1678910834.44944
Ann Ashley,811.0,737.0,74.0,1678910834.44944
4th & William,960.0,436.0,524.0,1678910834.44944
1st & Wash.,243.0,92.0,151.0,1678910834.44944
4th & Wash.,270.0,234.0,36.0,1678910834.44944
1st and William,110.0,0.0,110.0,1678910834.44944
South Ashley (Kline Lot),143.0,62.0,81.0,1678910834.44944
Library Lane,744.0,154.0,590.0,1678914434.7662761
Maynard,791.0,534.0,257.0,1678914434.7662761
Forest Garage,853.0,187.0,666.0,1678914434.7662761
Liberty Square (Tally Hall),540.0,357.0,183.0,1678914434.7662761
Ann Ashley,811.0,501.0,310.0,1678914434.7662761
4th & William,960.0,407.0,553.0,1678914434.7662761
1st & Wash.,243.0,108.0,135.0,1678914434.7662761
4th & Wash.,270.0,164.0,106.0,1678914434.7662761
1st and William,110.0,0.0,110.0,1678914434.7662761
South Ashley (Kline Lot),143.0,79.0,64.0,1678914434.7662761
Library Lane,744.0,154.0,590.0,1678918034.6104906
Maynard,791.0,534.0,257.0,1678918034.6104906
Forest Garage,853.0,187.0,666.0,1678918034.6104906
Liberty Square (Tally Hall),540.0,357.0,183.0,1678918034.6104906
Ann Ashley,811.0,501.0,310.0,1678918034.6104906
4th & William,960.0,407.0,553.0,1678918034.6104906
1st & Wash.,243.0,108.0,135.0,1678918034.6104906
4th & Wash.,270.0,164.0,106.0,1678918034.6104906
1st and William,110.0,0.0,110.0,1678918034.6104906
South Ashley (Kline Lot),143.0,79.0,64.0,1678918034.6104906
Library Lane,744.0,154.0,590.0,1678921629.826383
Maynard,791.0,534.0,257.0,1678921629.826383
Forest Garage,853.0,187.0,666.0,1678921629.826383
Liberty Square (Tally Hall),540.0,357.0,183.0,1678921629.826383
Ann Ashley,811.0,501.0,310.0,1678921629.826383
4th & William,960.0,407.0,553.0,1678921629.826383
1st & Wash.,243.0,108.0,135.0,1678921629.826383
4th & Wash.,270.0,164.0,106.0,1678921629.826383
1st and William,110.0,0.0,110.0,1678921629.826383
South Ashley (Kline Lot),143.0,79.0,64.0,1678921629.826383
Library Lane,744.0,133.0,611.0,1678925241.509201
Maynard,791.0,760.0,31.0,1678925241.509201
Forest Garage,853.0,79.0,774.0,1678925241.509201
Liberty Square (Tally Hall),540.0,405.0,135.0,1678925241.509201
Ann Ashley,811.0,348.0,463.0,1678925241.509201
4th & William,960.0,473.0,487.0,1678925241.509201
1st & Wash.,243.0,243.0,0.0,1678925241.509201
4th & Wash.,270.0,196.0,74.0,1678925241.509201
1st and William,110.0,0.0,110.0,1678925241.509201
South Ashley (Kline Lot),143.0,140.0,3.0,1678925241.509201
Library Lane,744.0,133.0,611.0,1678928834.762349
Maynard,791.0,760.0,31.0,1678928834.762349
Forest Garage,853.0,79.0,774.0,1678928834.762349
Liberty Square (Tally Hall),540.0,405.0,135.0,1678928834.762349
Ann Ashley,811.0,348.0,463.0,1678928834.762349
4th & William,960.0,473.0,487.0,1678928834.762349
1st & Wash.,243.0,243.0,0.0,1678928834.762349
4th & Wash.,270.0,196.0,74.0,1678928834.762349
1st and William,110.0,0.0,110.0,1678928834.762349
South Ashley (Kline Lot),143.0,140.0,3.0,1678928834.762349
Library Lane,744.0,133.0,611.0,1678932433.4353008
Maynard,791.0,760.0,31.0,1678932433.4353008
Forest Garage,853.0,79.0,774.0,1678932433.4353008
Liberty Square (Tally Hall),540.0,405.0,135.0,1678932433.4353008
Ann Ashley,811.0,348.0,463.0,1678932433.4353008
4th & William,960.0,473.0,487.0,1678932433.4353008
1st & Wash.,243.0,243.0,0.0,1678932433.4353008
4th & Wash.,270.0,196.0,74.0,1678932433.4353008
1st and William,110.0,0.0,110.0,1678932433.4353008
South Ashley (Kline Lot),143.0,140.0,3.0,1678932433.4353008
Library Lane,744.0,133.0,611.0,1678936032.700853
Maynard,791.0,760.0,31.0,1678936032.700853
Forest Garage,853.0,79.0,774.0,1678936032.700853
Liberty Square (Tally Hall),540.0,405.0,135.0,1678936032.700853
Ann Ashley,811.0,348.0,463.0,1678936032.700853
4th & William,960.0,473.0,487.0,1678936032.700853
1st & Wash.,243.0,243.0,0.0,1678936032.700853
4th & Wash.,270.0,196.0,74.0,1678936032.700853
1st and William,110.0,0.0,110.0,1678936032.700853
