structure,total,inUse,free,time
4th & William,960.0,72.0,888.0,1670159235.4970005
4th & Wash.,270.0,37.0,233.0,1670159235.4970005
1st & Wash.,243.0,243.0,0.0,1670159235.4970005
1st and William,110.0,0.0,110.0,1670162827.717449
Library Lane,744.0,62.0,682.0,1670162827.717449
Maynard,791.0,56.0,735.0,1670162827.717449
Forest Garage,853.0,0.0,853.0,1670162827.717449
Liberty Square (Tally Hall),540.0,42.0,498.0,1670162827.717449
Ann Ashley,811.0,2.0,809.0,1670162827.717449
South Ashley (Kline Lot),143.0,3.0,140.0,1670162827.717449
4th & William,960.0,72.0,888.0,1670162827.717449
4th & Wash.,270.0,37.0,233.0,1670162827.717449
1st & Wash.,243.0,243.0,0.0,1670162827.717449
1st and William,110.0,0.0,110.0,1670166426.431521
Library Lane,744.0,62.0,682.0,1670166426.431521
Maynard,791.0,56.0,735.0,1670166426.431521
Forest Garage,853.0,0.0,853.0,1670166426.431521
Liberty Square (Tally Hall),540.0,42.0,498.0,1670166426.431521
Ann Ashley,811.0,2.0,809.0,1670166426.431521
South Ashley (Kline Lot),143.0,3.0,140.0,1670166426.431521
4th & William,960.0,72.0,888.0,1670166426.431521
4th & Wash.,270.0,37.0,233.0,1670166426.431521
1st & Wash.,243.0,243.0,0.0,1670166426.431521
1st and William,110.0,0.0,110.0,1670170031.680602
Library Lane,744.0,62.0,682.0,1670170031.680602
Maynard,791.0,56.0,735.0,1670170031.680602
Forest Garage,853.0,0.0,853.0,1670170031.680602
Liberty Square (Tally Hall),540.0,42.0,498.0,1670170031.680602
Ann Ashley,811.0,2.0,809.0,1670170031.680602
South Ashley (Kline Lot),143.0,3.0,140.0,1670170031.680602
4th & William,960.0,72.0,888.0,1670170031.680602
4th & Wash.,270.0,37.0,233.0,1670170031.680602
1st & Wash.,243.0,243.0,0.0,1670170031.680602
1st and William,110.0,0.0,110.0,1670173635.2762165
Library Lane,744.0,62.0,682.0,1670173635.2762165
Maynard,791.0,56.0,735.0,1670173635.2762165
Forest Garage,853.0,1.0,852.0,1670173635.2762165
Liberty Square (Tally Hall),540.0,42.0,498.0,1670173635.2762165
Ann Ashley,811.0,2.0,809.0,1670173635.2762165
South Ashley (Kline Lot),143.0,3.0,140.0,1670173635.2762165
4th & William,960.0,72.0,888.0,1670173635.2762165
4th & Wash.,270.0,37.0,233.0,1670173635.2762165
1st & Wash.,243.0,40.0,203.0,1670173635.2762165
1st and William,110.0,0.0,110.0,1670177227.5359175
Library Lane,744.0,62.0,682.0,1670177227.5359175
Maynard,791.0,56.0,735.0,1670177227.5359175
Forest Garage,853.0,1.0,852.0,1670177227.5359175
Liberty Square (Tally Hall),540.0,42.0,498.0,1670177227.5359175
Ann Ashley,811.0,2.0,809.0,1670177227.5359175
South Ashley (Kline Lot),143.0,3.0,140.0,1670177227.5359175
4th & William,960.0,72.0,888.0,1670177227.5359175
4th & Wash.,270.0,37.0,233.0,1670177227.5359175
1st & Wash.,243.0,40.0,203.0,1670177227.5359175
1st and William,110.0,0.0,110.0,1670180828.7643156
Library Lane,744.0,62.0,682.0,1670180828.7643156
Maynard,791.0,56.0,735.0,1670180828.7643156
Forest Garage,853.0,1.0,852.0,1670180828.7643156
Liberty Square (Tally Hall),540.0,42.0,498.0,1670180828.7643156
Ann Ashley,811.0,2.0,809.0,1670180828.7643156
South Ashley (Kline Lot),143.0,3.0,140.0,1670180828.7643156
4th & William,960.0,72.0,888.0,1670180828.7643156
4th & Wash.,270.0,37.0,233.0,1670180828.7643156
1st & Wash.,243.0,40.0,203.0,1670180828.7643156
1st and William,110.0,0.0,110.0,1670184426.1554244
Library Lane,744.0,62.0,682.0,1670184426.1554244
Maynard,791.0,56.0,735.0,1670184426.1554244
Forest Garage,853.0,1.0,852.0,1670184426.1554244
Liberty Square (Tally Hall),540.0,42.0,498.0,1670184426.1554244
Ann Ashley,811.0,2.0,809.0,1670184426.1554244
South Ashley (Kline Lot),143.0,3.0,140.0,1670184426.1554244
4th & William,960.0,72.0,888.0,1670184426.1554244
4th & Wash.,270.0,37.0,233.0,1670184426.1554244
1st & Wash.,243.0,40.0,203.0,1670184426.1554244
1st and William,110.0,0.0,110.0,1670188034.2817698
Library Lane,744.0,62.0,682.0,1670188034.2817698
Maynard,791.0,56.0,735.0,1670188034.2817698
Forest Garage,853.0,2.0,851.0,1670188034.2817698
